iter	Logloss
0	0.6849368329
1	0.6768172382
2	0.6695112186
3	0.6608484357
4	0.6534828047
5	0.6466055787
6	0.6383965359
7	0.6315030297
8	0.6259261745
9	0.619579261
10	0.6134263478
11	0.6081369644
12	0.601304741
13	0.5937701181
14	0.5873678026
15	0.5778624745
16	0.5723964854
17	0.5637286266
18	0.5591361334
19	0.5503158105
20	0.5454614728
21	0.54125828
22	0.5366441212
23	0.5317672513
24	0.523825129
25	0.5192166342
26	0.5148802906
27	0.5109722145
28	0.5068743476
29	0.5028495247
30	0.496067906
31	0.4917458927
32	0.4882922995
33	0.4843831091
34	0.4815964147
35	0.4758273235
36	0.4722171188
37	0.4657996683
38	0.4627203332
39	0.4595738966
40	0.4537592766
41	0.4515464117
42	0.4487767094
43	0.4458922102
44	0.4404730187
45	0.4382301315
46	0.4356772711
47	0.4310870683
48	0.4287431883
49	0.4262420469
50	0.4235934244
51	0.4210024944
52	0.4186787634
53	0.4163350072
54	0.4134760116
55	0.4110415074
56	0.4087057056
57	0.4068585564
58	0.4028484352
59	0.4006339609
60	0.3985494184
61	0.3948354044
62	0.3912125408
63	0.3898892354
64	0.3862014368
65	0.3843701345
66	0.38072576
67	0.3793030095
68	0.376455249
69	0.3743825297
70	0.372678807
71	0.3694786087
72	0.3677389211
73	0.365922599
74	0.3642734117
75	0.363087745
76	0.3613756656
77	0.3596628433
78	0.3584630011
79	0.3568962051
80	0.3552767307
81	0.3535519613
82	0.3517655997
83	0.3501347664
84	0.3487302459
85	0.3471622428
86	0.3459466776
87	0.3445460569
88	0.3427808038
89	0.3415072675
90	0.3400130514
91	0.3387816083
92	0.3357564373
93	0.3345492597
94	0.3331695
95	0.3316757481
96	0.3303960525
97	0.3290270947
98	0.3279683266
99	0.326447926
100	0.3251983766
101	0.3224558801
102	0.3212659112
103	0.3199122121
104	0.318685845
105	0.317699533
106	0.316531663
107	0.3153289114
108	0.3137860095
109	0.3128137801
110	0.3118869867
111	0.310949577
112	0.309984064
113	0.3091453877
114	0.308051738
115	0.3068737781
116	0.3061106839
117	0.3048286361
118	0.3037854672
119	0.3026848536
120	0.3005292478
121	0.2994808174
122	0.2988349342
123	0.2977528911
124	0.296858627
125	0.2947393266
126	0.2938001528
127	0.2928942203
128	0.2920226432
129	0.2912447854
130	0.290389179
131	0.2894189305
132	0.2886899132
133	0.2879359495
134	0.2872022586
135	0.2863191059
136	0.2851560024
137	0.2842167667
138	0.283263603
139	0.2826513016
140	0.2818092207
141	0.281134677
142	0.2804683972
143	0.2796919322
144	0.2788401946
145	0.2779749625
146	0.2769922098
147	0.2760962434
148	0.2754662071
149	0.2745889969
150	0.2739296192
151	0.2731307767
152	0.2722429504
153	0.2714384129
154	0.2707780757
155	0.2703000701
156	0.2697749883
157	0.2691330358
158	0.2681686061
159	0.2674101236
160	0.2666284898
161	0.2657395183
162	0.2650250479
163	0.2645155344
164	0.2630400435
165	0.2625671758
166	0.261986599
167	0.2612327591
168	0.2605396449
169	0.2597441451
170	0.2589088579
171	0.2580859202
172	0.2573005104
173	0.2566314759
174	0.2558931424
175	0.2553101669
176	0.2547234464
177	0.2532761827
178	0.2528141323
179	0.2520960562
180	0.2515714696
181	0.2510545433
182	0.2502644289
183	0.2497283131
184	0.2491599928
185	0.2486589908
186	0.2482667501
187	0.2475906898
188	0.24701262
189	0.2464560611
190	0.2458866266
191	0.2452875412
192	0.244506805
193	0.2435138385
194	0.242832888
195	0.2424092941
196	0.2420150107
197	0.2414558209
198	0.2409442801
199	0.2402475601
200	0.2398333753
201	0.239178083
202	0.2386255787
203	0.2380813227
204	0.2376552528
205	0.2372118813
206	0.2366569318
207	0.2360820345
208	0.2354515029
209	0.2349241771
210	0.2343272737
211	0.2338927232
212	0.2333523826
213	0.2327460392
214	0.2321969394
215	0.2316177399
216	0.2312302967
217	0.2308531601
218	0.2304823993
219	0.2300799449
220	0.2295129091
221	0.2289802907
222	0.228490075
223	0.2280321411
224	0.2275758786
225	0.2271269359
226	0.2264726186
227	0.2260455273
228	0.2256325186
229	0.2252124995
230	0.2246958827
231	0.2242628798
232	0.2237397324
233	0.2231923194
234	0.2225761181
235	0.222151441
236	0.2218895036
237	0.2215534388
238	0.2211652063
239	0.2206484503
240	0.2202588869
241	0.2198458472
242	0.2195303029
243	0.219085941
244	0.2188242976
245	0.2184674957
246	0.2180077667
247	0.2175306278
248	0.2169469249
249	0.2164962335
250	0.2161842021
251	0.2157823048
252	0.2155566419
253	0.2151428285
254	0.2148602623
255	0.2144051759
