iter	Passed	Remaining
0	154	154259
1	157	78458
2	160	53181
3	163	40686
4	166	33222
5	170	28191
6	173	24653
7	176	21927
8	180	19834
9	183	18142
10	186	16783
11	190	15649
12	193	14711
13	196	13864
14	200	13134
15	203	12490
16	206	11936
17	209	11425
18	212	10961
19	215	10559
20	218	10185
21	221	9851
22	224	9542
23	228	9294
24	231	9027
25	234	8790
26	237	8570
27	245	8506
28	250	8399
29	253	8211
30	257	8044
31	260	7890
32	264	7739
33	267	7590
34	269	7430
35	272	7309
36	276	7199
37	279	7082
38	282	6971
39	286	6868
40	289	6763
41	292	6665
42	296	6604
43	299	6516
44	302	6424
45	305	6337
46	308	6251
47	311	6178
48	314	6101
49	317	6040
50	321	5981
51	324	5909
52	326	5842
53	329	5772
54	332	5707
55	334	5646
56	337	5590
57	340	5532
58	343	5476
59	345	5419
60	348	5364
61	351	5312
62	354	5270
63	356	5220
64	359	5170
65	362	5124
66	365	5087
67	368	5054
68	371	5015
69	374	4978
70	377	4943
71	381	4911
72	384	4881
73	387	4850
74	390	4816
75	393	4783
76	396	4756
77	399	4724
78	402	4689
79	404	4655
80	407	4625
81	410	4596
82	413	4570
83	416	4541
84	419	4512
85	421	4481
86	424	4453
87	426	4423
88	429	4395
89	432	4371
90	435	4348
91	437	4320
92	443	4327
93	447	4310
94	449	4285
95	452	4261
96	454	4235
97	457	4211
98	469	4268
99	471	4244
100	474	4225
101	478	4210
102	481	4191
103	485	4181
104	488	4165
105	492	4155
106	496	4141
107	499	4124
108	502	4108
109	506	4101
110	510	4088
111	513	4071
112	516	4055
113	519	4037
114	523	4028
115	527	4018
116	530	4000
117	533	3984
118	535	3967
119	539	3959
120	543	3950
121	546	3935
122	549	3919
123	552	3903
124	556	3894
125	559	3879
126	562	3865
127	565	3852
128	569	3841
129	572	3828
130	574	3813
131	577	3800
132	580	3785
133	583	3772
134	586	3760
135	589	3745
136	592	3730
137	594	3714
138	597	3699
139	600	3686
140	603	3674
141	605	3659
142	608	3644
143	610	3630
144	613	3615
145	615	3601
146	619	3592
147	621	3579
148	624	3565
149	626	3551
150	629	3538
151	632	3527
152	635	3517
153	637	3504
154	640	3491
155	642	3478
156	645	3465
157	648	3454
158	651	3446
159	654	3436
160	657	3424
161	659	3411
162	662	3399
163	665	3390
164	668	3380
165	670	3369
166	673	3357
167	675	3347
168	678	3337
169	681	3329
170	684	3318
171	687	3307
172	689	3297
173	692	3286
174	695	3277
175	698	3269
176	701	3260
177	703	3249
178	706	3239
179	708	3228
180	711	3218
181	713	3209
182	716	3199
183	719	3189
184	721	3179
185	725	3173
186	728	3166
187	731	3158
188	733	3149
189	736	3141
190	739	3133
191	742	3124
192	745	3117
193	749	3111
194	751	3102
195	754	3095
196	757	3088
197	760	3080
198	763	3073
199	766	3066
200	769	3057
201	771	3048
202	774	3039
203	777	3032
204	780	3025
205	782	3017
206	799	3063
207	802	3054
208	804	3046
209	807	3039
210	811	3033
211	813	3025
212	816	3016
213	818	3007
214	821	2999
215	824	2994
216	827	2986
217	830	2978
218	833	2970
219	835	2962
220	838	2956
221	841	2949
222	844	2941
223	846	2933
224	849	2925
225	852	2918
226	854	2911
227	857	2904
228	860	2896
229	862	2889
230	865	2881
231	868	2873
232	870	2867
233	874	2862
234	877	2856
235	880	2849
236	882	2841
237	885	2833
238	888	2828
239	891	2821
240	893	2815
241	896	2807
242	898	2800
243	901	2792
244	904	2787
245	907	2780
246	909	2772
247	912	2766
248	914	2758
249	917	2752
250	920	2746
251	922	2739
252	925	2732
253	928	2725
254	930	2718
255	933	2713
256	937	2709
257	940	2703
258	942	2696
259	945	2689
260	947	2683
261	951	2680
262	954	2675
263	957	2670
264	960	2663
265	962	2656
266	965	2650
267	968	2645
268	971	2640
269	974	2633
270	976	2627
271	979	2620
272	981	2614
273	984	2609
274	987	2603
275	990	2597
276	992	2590
277	995	2584
278	998	2580
279	1001	2575
280	1004	2569
281	1006	2563
282	1009	2558
283	1012	2553
284	1015	2547
285	1018	2541
286	1020	2535
287	1023	2529
288	1025	2524
289	1028	2518
290	1032	2514
291	1034	2509
292	1037	2503
293	1040	2498
294	1043	2494
295	1048	2494
296	1051	2488
297	1054	2483
298	1057	2478
299	1060	2474
300	1063	2469
301	1066	2464
302	1069	2459
303	1072	2456
304	1075	2451
305	1079	2447
306	1082	2443
307	1084	2437
308	1087	2432
309	1090	2427
310	1094	2423
311	1096	2418
312	1100	2415
313	1103	2410
314	1105	2404
315	1108	2399
316	1111	2395
317	1114	2390
318	1116	2384
319	1119	2378
320	1121	2373
321	1124	2368
322	1127	2363
323	1131	2360
324	1134	2356
325	1137	2351
326	1140	2347
327	1143	2343
328	1146	2338
329	1149	2333
330	1152	2329
331	1155	2324
332	1158	2320
333	1161	2315
334	1163	2310
335	1166	2304
336	1168	2299
337	1171	2294
338	1174	2289
339	1176	2284
340	1179	2279
341	1181	2274
342	1184	2268
343	1186	2263
344	1189	2259
345	1192	2253
346	1194	2248
347	1197	2243
348	1199	2238
349	1202	2232
350	1205	2228
351	1207	2223
352	1210	2218
353	1213	2213
354	1215	2208
355	1218	2204
356	1221	2199
357	1224	2195
358	1226	2190
359	1229	2185
360	1231	2180
361	1234	2175
362	1237	2171
363	1240	2167
364	1242	2162
365	1245	2157
366	1248	2152
367	1251	2148
368	1254	2144
369	1256	2139
370	1259	2135
371	1261	2130
372	1264	2125
373	1267	2121
374	1270	2116
375	1272	2111
376	1275	2107
377	1277	2102
378	1280	2097
379	1282	2092
380	1285	2088
381	1287	2083
382	1290	2078
383	1293	2074
384	1295	2069
385	1298	2065
386	1301	2061
387	1303	2056
388	1306	2051
389	1309	2047
390	1311	2043
391	1314	2038
392	1317	2034
393	1319	2030
394	1322	2025
395	1325	2021
396	1328	2018
397	1331	2013
398	1334	2009
399	1336	2005
400	1339	2000
401	1342	1996
402	1345	1992
403	1347	1988
404	1350	1984
405	1353	1980
406	1356	1975
407	1358	1971
408	1361	1966
409	1364	1962
410	1366	1958
411	1369	1954
412	1371	1949
413	1374	1945
414	1376	1940
415	1379	1936
416	1382	1932
417	1384	1927
418	1388	1925
419	1391	1921
420	1393	1916
421	1396	1912
422	1399	1908
423	1401	1904
424	1404	1899
425	1406	1895
426	1408	1890
427	1411	1886
428	1414	1882
429	1416	1878
430	1419	1873
431	1421	1869
432	1424	1864
433	1426	1860
434	1429	1857
435	1432	1853
436	1435	1848
437	1438	1845
438	1441	1842
439	1444	1838
440	1446	1834
441	1449	1829
442	1451	1825
443	1454	1821
444	1456	1816
445	1459	1812
446	1462	1809
447	1465	1805
448	1468	1801
449	1470	1797
450	1473	1793
451	1475	1789
452	1478	1785
453	1480	1780
454	1483	1776
455	1485	1772
456	1488	1768
457	1490	1764
458	1493	1760
459	1495	1755
460	1498	1751
461	1500	1747
462	1503	1743
463	1505	1739
464	1509	1736
465	1511	1732
466	1514	1728
467	1517	1724
468	1519	1720
469	1522	1716
470	1525	1712
471	1527	1708
472	1530	1704
473	1532	1700
474	1534	1696
475	1537	1692
476	1540	1689
477	1543	1685
478	1546	1682
479	1549	1678
480	1552	1674
481	1555	1671
482	1557	1667
483	1560	1663
484	1563	1659
485	1565	1655
486	1568	1651
487	1571	1648
488	1573	1644
489	1576	1640
490	1578	1636
491	1581	1632
492	1583	1628
493	1586	1625
494	1589	1621
495	1591	1617
496	1594	1613
497	1596	1609
498	1599	1605
499	1601	1601
500	1604	1598
501	1606	1594
502	1609	1590
503	1612	1586
504	1614	1582
505	1617	1578
506	1620	1575
507	1622	1571
508	1624	1567
509	1627	1563
510	1629	1559
511	1632	1555
512	1635	1552
513	1638	1548
514	1640	1545
515	1643	1541
516	1646	1537
517	1648	1534
518	1651	1530
519	1654	1527
520	1657	1523
521	1660	1520
522	1662	1516
523	1665	1512
524	1667	1509
525	1670	1505
526	1673	1501
527	1675	1497
528	1677	1493
529	1680	1490
530	1683	1486
531	1685	1483
532	1688	1479
533	1691	1475
534	1693	1472
535	1696	1468
536	1699	1465
537	1701	1461
538	1704	1457
539	1706	1454
540	1709	1450
541	1711	1446
542	1714	1443
543	1717	1439
544	1720	1436
545	1722	1432
546	1725	1428
547	1728	1425
548	1730	1421
549	1737	1421
550	1740	1418
551	1743	1414
552	1745	1411
553	1748	1407
554	1751	1404
555	1753	1400
556	1756	1397
557	1759	1393
558	1762	1390
559	1764	1386
560	1767	1383
561	1770	1379
562	1772	1376
563	1775	1372
564	1778	1369
565	1781	1365
566	1784	1362
567	1786	1359
568	1789	1355
569	1792	1352
570	1795	1349
571	1798	1345
572	1800	1341
573	1803	1338
574	1806	1335
575	1809	1331
576	1812	1328
577	1815	1325
578	1817	1321
579	1820	1318
580	1823	1314
581	1826	1311
582	1829	1308
583	1831	1304
584	1834	1301
585	1837	1297
586	1840	1294
587	1843	1291
588	1846	1288
589	1848	1284
590	1851	1281
591	1854	1277
592	1857	1274
593	1859	1271
594	1862	1267
595	1864	1264
596	1867	1260
597	1870	1257
598	1873	1254
599	1876	1250
600	1878	1247
601	1881	1243
602	1883	1240
603	1886	1236
604	1889	1233
605	1891	1230
606	1894	1226
607	1897	1223
608	1900	1220
609	1903	1217
610	1906	1214
611	1909	1210
612	1912	1207
613	1914	1203
614	1917	1200
615	1921	1197
616	1924	1194
617	1927	1191
618	1929	1187
619	1932	1184
620	1935	1181
621	1938	1177
622	1940	1174
623	1943	1171
624	1946	1167
625	1948	1164
626	1951	1161
627	1954	1157
628	1957	1154
629	1959	1150
630	1962	1147
631	1964	1144
632	1967	1140
633	1970	1137
634	1972	1133
635	1975	1130
636	1978	1127
637	1980	1123
638	1983	1120
639	1986	1117
640	1988	1113
641	1991	1110
642	1993	1106
643	1996	1103
644	1998	1100
645	2001	1096
646	2004	1093
647	2006	1090
648	2009	1086
649	2012	1083
650	2015	1080
651	2017	1076
652	2020	1073
653	2022	1070
654	2025	1066
655	2027	1063
656	2030	1060
657	2033	1056
658	2035	1053
659	2038	1050
660	2041	1046
661	2043	1043
662	2046	1040
663	2049	1036
664	2051	1033
665	2054	1030
666	2056	1026
667	2059	1023
668	2062	1020
669	2064	1016
670	2067	1013
671	2069	1010
672	2072	1006
673	2074	1003
674	2077	1000
675	2080	997
676	2082	993
677	2085	990
678	2087	987
679	2090	983
680	2093	980
681	2096	977
682	2098	974
683	2101	970
684	2104	967
685	2107	964
686	2110	961
687	2113	958
688	2116	955
689	2118	952
690	2121	948
691	2124	945
692	2126	942
693	2129	938
694	2132	935
695	2135	932
696	2137	929
697	2140	926
698	2143	922
699	2145	919
700	2148	916
701	2150	913
702	2153	909
703	2155	906
704	2158	903
705	2161	900
706	2163	896
707	2166	893
708	2168	890
709	2171	886
710	2174	883
711	2176	880
712	2179	877
713	2182	874
714	2184	870
715	2187	867
716	2189	864
717	2192	861
718	2195	857
719	2198	854
720	2201	851
721	2203	848
722	2206	845
723	2209	842
724	2211	838
725	2214	835
726	2216	832
727	2219	829
728	2221	825
729	2224	822
730	2227	819
731	2229	816
732	2232	813
733	2234	809
734	2237	806
735	2239	803
736	2242	800
737	2244	796
738	2247	793
739	2249	790
740	2252	787
741	2255	784
742	2257	780
743	2260	777
744	2263	774
745	2266	771
746	2268	768
747	2271	765
748	2273	761
749	2276	758
750	2278	755
751	2281	752
752	2283	749
753	2286	746
754	2289	743
755	2292	739
756	2295	736
757	2297	733
758	2300	730
759	2303	727
760	2307	724
761	2309	721
762	2312	718
763	2315	715
764	2318	712
765	2320	708
766	2323	705
767	2325	702
768	2328	699
769	2331	696
770	2335	693
771	2338	690
772	2341	687
773	2343	684
774	2346	681
775	2349	678
776	2352	675
777	2354	671
778	2357	668
779	2360	665
780	2363	662
781	2365	659
782	2368	656
783	2371	653
784	2373	650
785	2376	647
786	2378	643
787	2381	640
788	2384	637
789	2386	634
790	2388	631
791	2391	628
792	2394	624
793	2396	621
794	2399	618
795	2401	615
796	2404	612
797	2407	609
798	2409	606
799	2412	603
800	2414	599
801	2417	596
802	2420	593
803	2422	590
804	2425	587
805	2427	584
806	2430	581
807	2433	578
808	2435	575
809	2438	571
810	2440	568
811	2443	565
812	2445	562
813	2448	559
814	2450	556
815	2453	553
816	2455	550
817	2458	546
818	2460	543
819	2463	540
820	2465	537
821	2468	534
822	2470	531
823	2473	528
824	2475	525
825	2478	522
826	2481	519
827	2484	516
828	2486	512
829	2489	509
830	2491	506
831	2494	503
832	2497	500
833	2500	497
834	2502	494
835	2505	491
836	2507	488
837	2510	485
838	2513	482
839	2515	479
840	2518	476
841	2520	472
842	2522	469
843	2525	466
844	2528	463
845	2530	460
846	2533	457
847	2535	454
848	2538	451
849	2540	448
850	2543	445
851	2545	442
852	2547	439
853	2550	435
854	2552	432
855	2555	429
856	2557	426
857	2560	423
858	2562	420
859	2565	417
860	2567	414
861	2569	411
862	2572	408
863	2575	405
864	2577	402
865	2579	399
866	2582	396
867	2584	393
868	2587	389
869	2589	386
870	2592	383
871	2594	380
872	2597	377
873	2599	374
874	2602	371
875	2604	368
876	2607	365
877	2609	362
878	2612	359
879	2614	356
880	2617	353
881	2619	350
882	2622	347
883	2624	344
884	2627	341
885	2629	338
886	2631	335
887	2634	332
888	2636	329
889	2639	326
890	2641	323
891	2644	320
892	2647	317
893	2649	314
894	2652	311
895	2654	308
896	2657	305
897	2659	302
898	2661	299
899	2664	296
900	2666	293
901	2669	290
902	2671	287
903	2674	283
904	2677	281
905	2679	278
906	2682	275
907	2685	272
908	2687	269
909	2690	266
910	2692	263
911	2695	260
912	2698	257
913	2701	254
914	2703	251
915	2706	248
916	2708	245
917	2711	242
918	2713	239
919	2716	236
920	2718	233
921	2721	230
922	2723	227
923	2726	224
924	2728	221
925	2731	218
926	2733	215
927	2735	212
928	2738	209
929	2740	206
930	2742	203
931	2745	200
932	2748	197
933	2750	194
934	2753	191
935	2755	188
936	2757	185
937	2760	182
938	2762	179
939	2765	176
940	2768	173
941	2770	170
942	2773	167
943	2775	164
944	2778	161
945	2781	158
946	2783	155
947	2786	152
948	2788	149
949	2790	146
950	2793	143
951	2796	140
952	2798	138
953	2801	135
954	2803	132
955	2805	129
956	2808	126
957	2811	123
958	2813	120
959	2816	117
960	2818	114
961	2821	111
962	2823	108
963	2826	105
964	2829	102
965	2831	99
966	2833	96
967	2836	93
968	2838	90
969	2841	87
970	2843	84
971	2846	81
972	2848	79
973	2851	76
974	2853	73
975	2856	70
976	2858	67
977	2861	64
978	2863	61
979	2866	58
980	2868	55
981	2871	52
982	2874	49
983	2877	46
984	2880	43
985	2882	40
986	2885	38
987	2888	35
988	2890	32
989	2894	29
990	2896	26
991	2899	23
992	2902	20
993	2904	17
994	2907	14
995	2909	11
996	2912	8
997	2914	5
998	2917	2
999	2919	0
